,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,Latitude,Longitude,city,zipcode,category1,category2,category3,CensusTract
5834,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 34.04382, 'longitude': -118.44589}",(310) 444-1411,7673.5685548547535,plan-check-kitchen-bar-los-angeles-7,https://s3-media2.fl.yelpcdn.com/bphoto/wS1iesIfxmInflHABtPcqA/o.jpg,False,"{'address1': '1800 Sawtelle Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['1800 Sawtelle Blvd', 'Los Angeles, CA 90025']}",Plan Check Kitchen + Bar,13104441411.0,$$,4.0,2362,"['delivery', 'pickup']",https://www.yelp.com/biz/plan-check-kitchen-bar-los-angeles-7?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.44589,34.043820000000004,Los Angeles,90025,Burgers,Gastropubs,American (Traditional),6037267700
5835,"[{'alias': 'ramen', 'title': 'Ramen'}]","{'latitude': 34.0389276051363, 'longitude': -118.442340393371}",(310) 684-2889,7909.756488672502,tatsu-ramen-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/B9jeuREVz5pXb6OtBqr9RQ/o.jpg,False,"{'address1': '2123 Sawtelle Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['2123 Sawtelle Blvd', 'Los Angeles, CA 90025']}",Tatsu Ramen,13106842889.0,$$,4.0,2461,['delivery'],https://www.yelp.com/biz/tatsu-ramen-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.442340393371,34.0389276051363,Los Angeles,90025,Ramen,,,6037267700
5837,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 33.9861675, 'longitude': -118.4733138}",,6981.839003253522,venice-fish-tacos-and-smoothies-los-angeles-3,https://s3-media1.fl.yelpcdn.com/bphoto/klBbxpEaiP1HLaPCQJlJJw/o.jpg,False,"{'address1': '1701 Ocean Front Walk', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90291', 'country': 'US', 'state': 'CA', 'display_address': ['1701 Ocean Front Walk', 'Los Angeles, CA 90291']}",Venice Fish Tacos and Smoothies,,$,4.5,74,[],https://www.yelp.com/biz/venice-fish-tacos-and-smoothies-los-angeles-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.4733138,33.9861675,Los Angeles,90291,Street Vendors,Mexican,,6037273502
5839,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 33.99672, 'longitude': -118.4774}",(310) 399-8005,5919.690307193242,la-fiesta-brava-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/l3xlN7534YErPZkhEkvR6g/o.jpg,False,"{'address1': '259 Hampton Dr', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90291', 'country': 'US', 'state': 'CA', 'display_address': ['259 Hampton Dr', 'Los Angeles, CA 90291']}",La Fiesta Brava,13103998005.0,$,4.0,356,[],https://www.yelp.com/biz/la-fiesta-brava-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.4774,33.99672,Los Angeles,90291,Mexican,,,6037273402
5846,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.05351, 'longitude': -118.46334}",(310) 806-6464,6463.458833990426,tavern-los-angeles-2,https://s3-media3.fl.yelpcdn.com/bphoto/d5aVV69eL-lA76ZkG1EVzQ/o.jpg,False,"{'address1': '11648 San Vicente Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90049', 'country': 'US', 'state': 'CA', 'display_address': ['11648 San Vicente Blvd', 'Los Angeles, CA 90049']}",Tavern,13108066464.0,$$$,3.5,1074,[],https://www.yelp.com/biz/tavern-los-angeles-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.46334,34.05351,Los Angeles,90049,American (New),Breakfast & Brunch,,6037264301
5850,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 34.04002, 'longitude': -118.44326}",(424) 317-2222,7850.911263828648,marugame-udon-los-angeles,https://s3-media3.fl.yelpcdn.com/bphoto/8VNJ3hsRH5AxMd11tNBHvw/o.jpg,False,"{'address1': '2029 Sawtelle Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['2029 Sawtelle Blvd', 'Los Angeles, CA 90025']}",MARUGAME UDON,14243172222.0,$,4.0,524,[],https://www.yelp.com/biz/marugame-udon-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.44326,34.04002,Los Angeles,90025,Japanese,Noodles,,6037267700
5852,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 34.0379018, 'longitude': -118.4408416}",(310) 575-4999,8033.632230976564,daikokuya-sawtelle-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/4ujl035_dVoVi0SAOQgsEA/o.jpg,False,"{'address1': '2208 Sawtelle Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['2208 Sawtelle Blvd', 'Los Angeles, CA 90064']}",Daikokuya Sawtelle,13105754999.0,$$,4.0,1167,[],https://www.yelp.com/biz/daikokuya-sawtelle-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.4408416,34.0379018,Los Angeles,90064,Ramen,Noodles,,6037267700
5858,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 34.0460491, 'longitude': -118.4494206}",(310) 478-1591,7426.536631588206,nanbankan-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/68Hl0pO95ll0mjfSzjZ2Ig/o.jpg,False,"{'address1': '11330 Santa Monica Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['11330 Santa Monica Blvd', 'Los Angeles, CA 90025']}",Nanbankan,13104781591.0,$$,4.0,646,['delivery'],https://www.yelp.com/biz/nanbankan-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.4494206,34.046049100000005,Los Angeles,90025,Japanese,Barbeque,,6037267300
5859,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 34.0543, 'longitude': -118.46377}",(310) 979-8733,6462.63977938764,coral-tree-café-los-angeles-3,https://s3-media2.fl.yelpcdn.com/bphoto/_IWdiD6F9KvoZNtV3N-aOA/o.jpg,False,"{'address1': '11645 San Vicente Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90049', 'country': 'US', 'state': 'CA', 'display_address': ['11645 San Vicente Blvd', 'Los Angeles, CA 90049']}",Coral Tree Café,13109798733.0,$$,3.5,968,"['delivery', 'pickup']",https://www.yelp.com/biz/coral-tree-caf%C3%A9-los-angeles-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.46377,34.0543,Los Angeles,90049,Breakfast & Brunch,Sandwiches,Cafes,6037264103
5860,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 33.9921777, 'longitude': -118.4717115}",(310) 664-1177,6638.5202798570235,casa-linda-los-angeles-3,https://s3-media2.fl.yelpcdn.com/bphoto/-c6JL_eiDA0Nh7MOYcgD9w/o.jpg,False,"{'address1': '1025 Abbot Kinney Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90291', 'country': 'US', 'state': 'CA', 'display_address': ['1025 Abbot Kinney Blvd', 'Los Angeles, CA 90291']}",Casa Linda,13106641177.0,$$,4.0,115,"['delivery', 'pickup']",https://www.yelp.com/biz/casa-linda-los-angeles-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.4717115,33.9921777,Los Angeles,90291,Mexican,,,6037273300
5862,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'themedcafes', 'title': 'Themed Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.0467665, 'longitude': -118.4431223}",,7994.768850954131,catcafe-lounge-los-angeles-4,https://s3-media2.fl.yelpcdn.com/bphoto/8UFCCU3e-5zHsoLC3dtjRA/o.jpg,False,"{'address1': '1736 S Sepulveda Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['1736 S Sepulveda Blvd', 'Los Angeles, CA 90025']}",CatCafe Lounge,,$$,5.0,18,[],https://www.yelp.com/biz/catcafe-lounge-los-angeles-4?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.4431223,34.0467665,Los Angeles,90025,Pet Adoption,Themed Cafes,Coffee & Tea,6037267200
5865,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'modern_european', 'title': 'Modern European'}]","{'latitude': 34.0481, 'longitude': -118.46312}",(310) 479-9500,6270.250915588205,affair-with-my-plate-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/949Zd4_VWw6oyDJAqez4Bw/o.jpg,False,"{'address1': '11819 Wilshire Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['11819 Wilshire Blvd', 'Los Angeles, CA 90025']}",Affair With My Plate,13104799500.0,$$,4.5,215,"['delivery', 'pickup']",https://www.yelp.com/biz/affair-with-my-plate-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.46312,34.0481,Los Angeles,90025,Pizza,Italian,Modern European,6037264301
5868,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 34.0402626785684, 'longitude': -118.442860543728}",(424) 273-6469,7882.1879189725205,flores-and-sons-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/SJvLDnSoXWMM-ZywWiAd1g/o.jpg,False,"{'address1': '2024 Sawtelle Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['2024 Sawtelle Blvd', 'Los Angeles, CA 90025']}",Flores and Sons,14242736469.0,$$,4.0,541,"['delivery', 'restaurant_reservation']",https://www.yelp.com/biz/flores-and-sons-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.442860543728,34.040262678568396,Los Angeles,90025,American (New),Comfort Food,,6037267700
5869,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.0394395, 'longitude': -118.4429987}",(424) 248-0872,7856.923771426171,korean-super-los-angeles-2,https://s3-media1.fl.yelpcdn.com/bphoto/kycfwiAezjozsBS2_q7wbQ/o.jpg,False,"{'address1': '11313 Mississippi Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['11313 Mississippi Ave', 'Los Angeles, CA 90025']}",Korean Super,14242480872.0,$,4.0,1357,"['pickup', 'delivery']",https://www.yelp.com/biz/korean-super-los-angeles-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.4429987,34.0394395,Los Angeles,90025,Korean,Delis,Sandwiches,6037267700
5872,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 34.047, 'longitude': -118.44783}",(310) 444-9241,7584.6027172191125,the-bombay-frankie-company-los-angeles,https://s3-media3.fl.yelpcdn.com/bphoto/wrrC6R57505bzqt3nvJxRw/o.jpg,False,"{'address1': '11261 Santa Monica Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['11261 Santa Monica Blvd', 'Los Angeles, CA 90025']}",The Bombay Frankie Company,13104449241.0,$,4.5,132,"['pickup', 'delivery']",https://www.yelp.com/biz/the-bombay-frankie-company-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.44783,34.047,Los Angeles,90025,Indian,,,6037267300
5874,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.0776094459912, 'longitude': -118.468632978521}",(310) 440-5546,7576.255911358327,the-shack-in-the-back-los-angeles,https://s3-media3.fl.yelpcdn.com/bphoto/KdIH4ibiSuyUpxuf1HRbtw/o.jpg,False,"{'address1': '662 N Sepulveda Blvd', 'address2': '', 'address3': 'The Bel Air', 'city': 'Los Angeles', 'zip_code': '90049', 'country': 'US', 'state': 'CA', 'display_address': ['662 N Sepulveda Blvd', 'The Bel Air', 'Los Angeles, CA 90049']}",The Shack In The Back,13104405546.0,$$,4.5,36,[],https://www.yelp.com/biz/the-shack-in-the-back-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.468632978521,34.0776094459912,Los Angeles,90049,Coffee & Tea,Bagels,Sandwiches,6037262200
5876,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'vegan', 'title': 'Vegan'}]","{'latitude': 33.9912589, 'longitude': -118.4692363}",(310) 399-0809,6887.508073132534,fala-bar-los-angeles-3,https://s3-media1.fl.yelpcdn.com/bphoto/fU71msNJSwmOj3SEjI21iA/o.jpg,False,"{'address1': '1146 Abbot Kinney Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90291', 'country': 'US', 'state': 'CA', 'display_address': ['1146 Abbot Kinney Blvd', 'Los Angeles, CA 90291']}",Fala Bar,13103990809.0,$,4.5,223,"['pickup', 'delivery']",https://www.yelp.com/biz/fala-bar-los-angeles-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.4692363,33.9912589,Los Angeles,90291,Salad,Sandwiches,Vegan,6037273502
5877,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'florists', 'title': 'Florists'}]","{'latitude': 33.99922, 'longitude': -118.46291}",(310) 452-3900,6867.041247425684,flowerboy-project-los-angeles,https://s3-media3.fl.yelpcdn.com/bphoto/2mjxiePRkin0UFDvbP6Pdw/o.jpg,False,"{'address1': '824 Lincoln Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90291', 'country': 'US', 'state': 'CA', 'display_address': ['824 Lincoln Blvd', 'Los Angeles, CA 90291']}",Flowerboy Project,13104523900.0,$,4.0,51,[],https://www.yelp.com/biz/flowerboy-project-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.46291,33.99922,Los Angeles,90291,Cafes,Florists,,6037273100
5885,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'moroccan', 'title': 'Moroccan'}]","{'latitude': 34.04619, 'longitude': -118.46434}",(310) 310-2999,6087.713941868479,marsa-lounge-los-angeles-3,https://s3-media4.fl.yelpcdn.com/bphoto/PIEGP1ncMxAtnJEnIJcsQg/o.jpg,False,"{'address1': '11906 Wilshire Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['11906 Wilshire Blvd', 'Los Angeles, CA 90025']}",Marsa Lounge,13103102999.0,$$,4.0,130,"['delivery', 'pickup']",https://www.yelp.com/biz/marsa-lounge-los-angeles-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.46434,34.04619,Los Angeles,90025,Mediterranean,Greek,Moroccan,6037267402
5887,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 34.0481, 'longitude': -118.46312}",(310) 268-9100,6263.220974552249,indias-tandoori-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/xxGpEqqPD_aBfYjEPZisqw/o.jpg,False,"{'address1': '11819 Wilshire Blvd', 'address2': 'Ste 206', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['11819 Wilshire Blvd', 'Ste 206', 'Los Angeles, CA 90025']}",India's Tandoori,13102689100.0,$$,4.5,808,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/indias-tandoori-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.46312,34.0481,Los Angeles,90025,Indian,,,6037264301
5890,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'korean', 'title': 'Korean'}]","{'latitude': 34.0397644042969, 'longitude': -118.438041687012}",(424) 832-7473,8314.464214595351,kalbis-grill-los-angeles,https://s3-media3.fl.yelpcdn.com/bphoto/-PAI4vuGUc5ZEUpROkPptQ/o.jpg,False,"{'address1': '11102 W Olympic Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['11102 W Olympic Blvd', 'Los Angeles, CA 90064']}",Kalbis Grill,14248327473.0,$$,4.5,156,[],https://www.yelp.com/biz/kalbis-grill-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.438041687012,34.039764404296896,Los Angeles,90064,Barbeque,Korean,,6037267800
5898,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]","{'latitude': 34.0540004, 'longitude': -118.4647585}",(310) 872-2422,6342.076745026154,sweetgreen-los-angeles-9,https://s3-media1.fl.yelpcdn.com/bphoto/pa0AbG7w34WmkNBb0vTmmg/o.jpg,False,"{'address1': '11677 San Vicente Blvd', 'address2': None, 'address3': None, 'city': 'Los Angeles', 'zip_code': '90049', 'country': 'US', 'state': 'CA', 'display_address': ['11677 San Vicente Blvd', 'Los Angeles, CA 90049']}",sweetgreen,13108722422.0,$$,4.5,104,[],https://www.yelp.com/biz/sweetgreen-los-angeles-9?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.4647585,34.05400039999999,Los Angeles,90049,Salad,Vegetarian,,6037264103
5903,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 33.9952871595403, 'longitude': -118.473199291387}",,6323.305470375633,foodshop-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/Qzu4mRzBw2u6LDgIiJOrMg/o.jpg,False,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90291', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90291']}",FoodShop,,$$$$,4.5,11,[],https://www.yelp.com/biz/foodshop-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.473199291387,33.995287159540304,Los Angeles,90291,American (Traditional),,,6037273300
5904,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 34.05898, 'longitude': -118.44137}",(310) 307-7004,8538.877546843927,the-tuck-room-tavern-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/9AOtHzQ0kxKK56mWZ2D3Kw/o.jpg,False,"{'address1': '10850 Wilshire Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90024', 'country': 'US', 'state': 'CA', 'display_address': ['10850 Wilshire Blvd', 'Los Angeles, CA 90024']}",The Tuck Room Tavern,13103077004.0,$$,4.0,236,[],https://www.yelp.com/biz/the-tuck-room-tavern-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.44137,34.05898,Los Angeles,90024,American (New),,,6037265510
5922,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 34.04093, 'longitude': -118.44328}",(310) 444-9100,7851.961504628586,sonoritas-prime-tacos-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/GhcneYEsPWgNbfhrFztONQ/o.jpg,False,"{'address1': '2004 Sawtelle Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90025', 'country': 'US', 'state': 'CA', 'display_address': ['2004 Sawtelle Blvd', 'Los Angeles, CA 90025']}",Sonoritas Prime Tacos,13104449100.0,$$,4.0,449,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/sonoritas-prime-tacos-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.44328,34.04093,Los Angeles,90025,Mexican,,,6037267700
5923,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.0542803, 'longitude': -118.4411766}",(310) 478-3822,8398.659501923326,mary-and-robbs-westwood-cafe-los-angeles-2,https://s3-media1.fl.yelpcdn.com/bphoto/ug2LtHEeBrn-7t02YTGjkw/o.jpg,False,"{'address1': '1453 Westwood Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90024', 'country': 'US', 'state': 'CA', 'display_address': ['1453 Westwood Blvd', 'Los Angeles, CA 90024']}",Mary & Robb's Westwood Cafe,13104783822.0,$$,4.0,300,[],https://www.yelp.com/biz/mary-and-robbs-westwood-cafe-los-angeles-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.44117659999998,34.054280299999995,Los Angeles,90024,American (Traditional),Breakfast & Brunch,,6037265510
5924,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 33.9872107570653, 'longitude': -118.473225161433}",(424) 256-7894,6907.1835338968995,surfside-bar-and-grill-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/e1fQtz3RInmT0W5uBdeB5A/o.jpg,False,"{'address1': '23 Windward Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90291', 'country': 'US', 'state': 'CA', 'display_address': ['23 Windward Ave', 'Los Angeles, CA 90291']}",Surfside Bar and Grill,14242567894.0,$$,4.0,103,[],https://www.yelp.com/biz/surfside-bar-and-grill-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.47322516143299,33.9872107570653,Los Angeles,90291,Sports Bars,American (Traditional),Seafood,6037273502
5926,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 34.0604028405844, 'longitude': -118.445061835982}",(310) 443-4433,8312.678582663732,tlt-food-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/Pmk_RSNHlFxif6jyHAMSRw/o.jpg,False,"{'address1': '1116 Westwood Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90024', 'country': 'US', 'state': 'CA', 'display_address': ['1116 Westwood Blvd', 'Los Angeles, CA 90024']}",TLT Food,13104434433.0,$$,4.0,1018,"['delivery', 'pickup']",https://www.yelp.com/biz/tlt-food-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.445061835982,34.060402840584395,Los Angeles,90024,American (New),Mexican,,6037265202
